smiles	CYP3A4	hERG_pIC50
[O-][N+](=O)c1ccc(\C=N\NC(=O)c2ccccc2Br)s1	4.65	*
[O-][N+](=O)c1ccc(C(=O)Nc2nc[nH]n2)c(c1)[N+](=O)[O-]	4.85	*
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)Cc2ccccc2	6.5	*
[O-][N+](=O)c1ccc(C2CCCC/C/2=N/OCc3ccccc3F)c(c1)[N+](=O)[O-]	5.45	*
[O-][N+](=O)c1ccc(C2CCCC/C/2=N\OCc3cccc(F)c3)c(c1)[N+](=O)[O-]	4.85	*
[O-][N+](=O)c1ccc(cc1)C(=O)[C@@H](Br)[C@@H](Br)c2ccnc3ccccc23	5.5	*
[O-][N+](=O)c1ccc(cc1)C(=O)COC(=O)\C(=C/c2ccc(Cl)cc2)\NC(=O)c3ccccc3	4.65	*
[O-][N+](=O)c1ccc(cc1)C(=O)N(CCCCN2C(=O)c3ccccc3C2=O)c4ccc(Cl)cc4	4.6	*
[O-][N+](=O)c1ccc(cc1)C(=O)NC(=S)Nc2ccc(cc2)C(=O)N3CCOCC3	5.85	*
[O-][N+](=O)c1ccc(cc1)C(=O)Nc2cc(Sc3ccccn3)cc(c2)[N+](=O)[O-]	5.1	*
[O-][N+](=O)c1ccc(cc1)C(=O)Nc2ncc(Cc3cc(Cl)ccc3Cl)s2	5.2	*
[O-][N+](=O)c1ccc(cc1)c2c[nH]c(SCc3ccccc3Cl)n2	4.85	*
[O-][N+](=O)c1ccc(cc1)C2C3N2C4(CCCCC4)N=C3c5ccccc5	4.8	*
[O-][N+](=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4	6.8	*
[O-][N+](=O)c1ccc(cc1)c2nnc(NC(=O)CN3CCCCC3)s2	5.1	*
[O-][N+](=O)c1ccc(cc1)N2CCC(=NOCc3ccc(Cl)cc3)CC2	4.45	*
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N2CCC(CN3CCC(CC3)c4noc5cc(F)ccc45)CC2	*	5.42
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)c3csc(n3)c4ccccc4	4.85	*
[O-][N+](=O)c1ccc(cc1NCc2ccccc2)N3CCCC3	4.8	*
[O-][N+](=O)c1ccc(CCN(CCF)CCOc2ccc(cc2)[N+](=O)[O-])cc1	*	7.19
[O-][N+](=O)c1ccc(CCN(CCOc2ccc(cc2)[N+](=O)[O-])C(=O)C(F)(F)F)cc1	*	6.45
[O-][N+](=O)c1ccc(CCN(CCOc2ccc(cc2)[N+](=O)[O-])CC#N)cc1	*	6.69
[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)[N+](=O)[O-])cc1	*	7.34
[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)n4cnnn4)cc1	*	6.8
[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc4C(=O)OCc4c3)cc1	*	5.89
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1	*	8.3
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)C#N)CC2)cc1	*	8.05
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)c4cccc5C(=O)OCc45)CC2)cc1	*	6.82
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)c4occn4)CC2)cc1	*	7.33
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)n4cnnn4)CC2)cc1	*	7.96
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(F)cc3)CC2)cc1	*	7.64
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)cc1	*	6.82
[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1	*	7.6
[O-][N+](=O)c1ccc(CCN2CCN(CCc3cccc(c3)C#N)CC2)cc1	*	7.66
[O-][N+](=O)c1ccc(CCN2CCNCC2)cc1	*	6.72
[O-][N+](=O)c1ccc(CCNCCOc2ccc(cc2)[N+](=O)[O-])cc1	*	7.33
[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2ccccc2	4.6	*
